,CNTSCHID,CNTSTUID,SUBNATIO,ST004D01T,AGE,PARED,HISEI,IMMIG,DURECEC,REPEAT,SCCHANGE,STUBMI,ESCS,ICTHOME,ICTSCH,CULTPOSS,DISCLIMA,EMOSUPS,BEINGBULLIED,PERCOMP,BODYIMA,W_FSTUWT,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
10366,3200398.0,3201082.0,320000,2.0,15.33,10.0,,1.0,3.0,0.0,,,-1.6952,,,-2.2054,0.3697,-1.1847,,-0.043,,93.76371,292.374,361.344,343.46,303.158,337.076,313.459,349.097,286.806,293.98,372.286,294.832,329.402,284.092,315.854,280.993,290.967,291.567,291.569,335.305,344.206,258.866,319.711,243.188,266.86,268.955,266.339,287.935,246.502,268.084
10367,3200398.0,3201915.0,320000,1.0,16.08,17.0,56.64,1.0,1.0,1.0,,,-0.1837,,,-0.1094,0.6429,0.6364,0.6725,-1.1126,,144.43278,282.301,292.525,352.933,264.509,245.802,277.578,320.765,253.066,202.15,297.427,294.304,375.032,431.32,370.11,339.522,365.693,360.833,378.082,342.375,305.881,353.789,313.541,391.711,329.568,271.843,282.558,284.942,316.385,311.147
10368,3200398.0,3202148.0,320000,1.0,15.83,12.0,22.57,1.0,2.0,0.0,,,-1.8532,,,-0.9795,-0.582,,,,,144.43278,361.751,317.535,340.233,377.359,305.901,382.112,343.03,340.732,362.288,387.223,342.573,325.424,360.774,363.116,393.541,345.972,344.807,392.008,402.14,283.992,299.582,168.701,342.114,281.897,298.872,292.59,271.409,290.778,289.464
10369,3200398.0,3202671.0,320000,2.0,16.17,6.0,31.08,1.0,,0.0,,,-2.3937,,,,-1.0331,-1.3939,1.5346,-0.043,,93.76371,451.924,390.87,393.559,436.409,325.383,410.596,395.965,406.103,387.423,398.604,379.264,359.652,350.248,393.032,358.689,397.38,373.93,341.446,367.175,392.701,377.733,419.592,341.567,404.053,383.052,376.142,282.934,323.248,324.134
10370,3200398.0,3202909.0,320000,1.0,15.33,12.0,25.95,1.0,2.0,1.0,,,-1.0063,,,0.4644,-0.6401,1.0346,1.1211,0.6912,,144.43278,362.285,352.339,334.785,279.592,320.219,339.191,274.072,362.771,350.13,395.264,370.374,394.036,341.981,331.563,393.866,319.317,344.708,385.387,333.009,308.673,338.939,351.723,284.416,377.652,348.88,321.633,258.117,341.018,256.816
10371,3200398.0,3203048.0,320000,2.0,15.42,17.0,76.49,1.0,4.0,0.0,,,-0.3323,,,0.6568,0.2272,,,,,93.76371,234.124,250.317,331.516,246.752,294.595,270.319,329.218,305.108,263.078,276.511,259.891,351.078,336.229,230.669,254.256,298.318,269.533,299.819,287.486,396.404,314.636,392.496,391.032,333.95,324.95,343.509,370.201,302.542,323.137
10372,3200398.0,3204068.0,320000,1.0,16.0,17.0,27.91,1.0,1.0,1.0,,,-2.6297,,,-1.701,-1.0331,,,,,144.43278,329.444,322.559,228.509,286.571,313.303,239.435,276.342,268.597,325.969,246.226,228.957,346.539,236.788,249.832,237.425,223.49,259.793,135.291,282.187,254.35,290.201,362.507,293.33,264.848,353.972,252.507,309.292,263.911,371.137
10373,3200398.0,3204901.0,320000,2.0,15.5,12.0,25.06,1.0,2.0,1.0,,,-0.6817,,,,0.7843,0.5029,0.2907,-0.114,,157.49744,350.58,289.751,332.854,296.597,358.7,292.417,321.071,252.744,303.619,290.404,370.514,215.378,313.997,293.714,324.773,291.781,293.057,275.095,331.011,364.487,373.297,251.773,259.622,348.533,331.952,234.44,291.538,243.071,274.523
10374,3200398.0,3205567.0,320000,2.0,15.25,14.5,31.08,1.0,0.0,1.0,,,-1.2743,,,-0.9828,-0.8179,0.2169,-0.7823,0.2865,,157.49744,362.944,450.315,355.665,383.617,386.018,371.033,359.974,317.612,318.806,430.264,421.908,388.713,399.752,387.005,410.123,390.452,415.999,401.338,399.848,424.044,358.561,370.744,373.929,388.692,304.108,425.521,369.649,348.957,342.182
10375,3200398.0,3206536.0,320000,2.0,15.25,12.0,17.0,1.0,2.0,1.0,,,-1.7594,,,-2.2054,-0.3049,1.0346,-0.7823,2.0378,,157.49744,215.317,284.159,268.774,326.199,294.221,285.659,267.718,227.558,355.107,262.887,166.478,215.268,272.174,208.674,108.991,225.434,257.108,220.88,144.805,297.039,191.069,222.862,210.276,221.4,157.084,173.531,171.924,239.268,243.214
10376,3200398.0,3206738.0,320000,1.0,15.58,6.0,16.38,1.0,2.0,0.0,,,-3.7954,,,-2.2054,-0.9302,-0.6576,-0.7823,-0.6142,,144.43278,318.097,342.646,384.151,394.266,293.21,342.751,266.072,324.212,349.067,371.672,361.592,385.829,382.283,413.482,347.39,354.959,366.471,343.341,402.473,323.093,311.795,293.232,317.942,263.176,247.562,279.058,254.115,276.034,309.698
10377,3200398.0,3206766.0,320000,1.0,15.75,10.0,21.64,1.0,1.0,0.0,,,-1.9122,,,-0.3031,0.8946,-0.6576,0.8233,-0.6142,,103.2996,358.283,409.275,354.124,334.905,431.317,298.014,401.747,337.878,514.348,350.172,417.493,307.92,348.421,324.127,388.47,339.592,380.504,357.255,413.513,358.17,337.99,359.551,376.329,325.879,374.492,351.735,375.715,324.788,329.12
10378,3200398.0,3208390.0,320000,1.0,15.58,3.0,27.91,1.0,1.0,0.0,,,-2.9163,,,-1.217,-2.7124,1.0346,,2.0378,,103.2996,291.104,307.248,264.38,342.599,282.764,210.318,259.511,311.88,292.791,160.247,232.15,217.073,211.013,238.285,300.619,200.312,249.713,219.327,309.213,254.462,358.682,337.265,290.93,345.39,362.24,228.753,261.496,295.743,325.589
10379,3200398.0,3209450.0,320000,2.0,15.92,12.0,25.95,1.0,2.0,1.0,,,-1.4237,,,-1.217,,,0.1462,-1.9892,,157.49744,328.321,346.366,303.64,228.616,257.502,354.198,323.458,321.503,263.121,344.57,395.906,370.554,328.137,338.232,321.282,357.692,370.409,332.87,367.382,321.932,470.237,437.368,376.396,296.304,318.856,325.889,310.748,310.804,389.298
10380,3200398.0,3210357.0,320000,1.0,16.08,6.0,15.35,1.0,,0.0,,,-3.0252,,,-2.2054,0.2108,,,,,103.2996,257.996,359.144,297.425,292.601,281.863,291.209,231.874,322.535,336.893,252.621,291.232,336.311,324.263,258.672,200.046,327.982,245.778,221.829,267.887,286.374,332.987,326.564,339.423,262.802,257.762,326.719,250.93,282.408,303.863
