,CNTSCHID,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM
93,3200096.0,public,3.0,3.1714,111.0,,,35.0,0.9,0.3571,0.1143,0.0,28.0,1.0,-0.6884,-0.0879,0.2967,0.2266,-0.5083,163.40109,2745.00103
94,3200097.0,public,3.0,13.7857,193.0,1.0,1.0,14.0,1.0,,,0.1429,18.0,2.0,0.8339,1.2805,0.4333,-0.1662,0.9042,72.55417,3040.26881
95,3200098.0,private,2.0,5.6364,310.0,0.0189,1.0,55.0,1.0,0.8182,0.1818,0.0,53.0,0.0,-1.4212,-1.4551,-0.9505,-0.8267,0.9042,66.21145,3275.11575
96,3200099.0,public,3.0,15.25,610.0,0.0,,40.0,1.0,0.6625,0.3375,0.0,28.0,3.0,0.6299,-0.0719,0.0239,1.3735,-0.3006,2.10326,236.63116
97,3200100.0,private,3.0,17.8571,625.0,0.3524,1.0,35.0,1.0,0.0571,0.9429,0.0714,53.0,2.0,-0.0703,-0.7828,-2.0719,-1.2225,0.9042,2.67414,286.75825
98,3200101.0,public,3.0,,1500.0,0.1523,0.3333,,,,,,28.0,0.0,0.1,1.776,1.524,2.1689,-0.6263,1.57224,250.25065
99,3200102.0,public,3.0,10.4299,558.0,,,53.5,0.0,0.0,0.0,0.0,53.0,1.0,-0.6884,-0.0879,1.427,0.1875,0.9042,22.91184,1384.72309
100,3200103.0,private,1.0,12.1724,353.0,0.1111,1.0,29.0,,,,,43.0,0.0,0.1312,-1.4551,0.2351,-0.1662,0.9042,12.81771,567.50577
101,3200104.0,public,3.0,,,,,60.0,1.0,0.8333,0.1667,0.0,38.0,1.0,-0.3123,-0.4314,0.4333,0.5642,-1.9458,12.8105,1902.82416
102,3200105.0,public,3.0,7.2625,581.0,0.3333,0.0,80.0,1.0,0.875,0.125,0.0,33.0,2.0,0.8006,0.2964,0.6532,-0.5488,0.9042,5.45814,437.23682
103,3200106.0,public,3.0,,,,,9.0,,0.6667,0.2222,0.0,13.0,1.0,0.7566,0.1964,-0.9505,1.2182,-0.7968,173.19111,1411.07931
104,3200107.0,public,3.0,1.3333,8.0,,,6.0,0.8333,0.75,0.0833,,28.0,0.0,0.5994,-0.1776,-0.9505,0.8064,0.3009,326.80218,827.50232
105,3200108.0,public,3.0,,,,0.0,20.0,0.0,1.0,0.0,0.0,13.0,0.0,0.265,1.0597,-0.6744,-0.0842,0.3009,346.38221,439.98828
106,3200109.0,private,2.0,20.4211,388.0,0.3372,1.0,19.0,1.0,0.5263,0.2368,0.2368,43.0,1.0,-1.4212,-1.4551,-2.0719,0.5761,0.9042,38.30352,3539.11948
107,3200110.0,private,2.0,12.4478,417.0,0.338,1.0,33.5,,,,0.0896,53.0,3.0,1.2478,-0.614,-1.2653,0.6015,-0.6263,8.54514,625.05117
108,3200111.0,public,3.0,3.4041,497.0,1.0,0.8889,146.0,1.0,0.4623,0.274,0.1199,23.0,2.0,-1.4212,-1.4551,-1.1232,0.2266,0.9042,4.67036,283.29552
109,3200112.0,private,2.0,9.0714,381.0,,,42.0,1.0,0.0714,0.9286,0.0,53.0,0.0,0.6606,-1.4551,-1.528,-0.1662,0.9042,9.71039,594.27582
110,3200113.0,public,3.0,27.5,330.0,,1.0,12.0,1.0,0.75,0.25,,28.0,2.0,1.6863,,0.0239,-0.4289,-0.651,65.88792,2245.64588
111,3200114.0,private,1.0,9.5082,290.0,0.625,1.0,30.5,1.0,0.5082,0.4918,0.3279,53.0,3.0,-0.2376,-0.3265,-0.2513,1.1035,0.9042,7.5669,446.80404
112,3200115.0,private,1.0,18.2985,613.0,0.3333,1.0,33.5,1.0,0.7015,0.2836,0.0149,43.0,0.0,-1.4212,-1.4551,-0.7293,0.0104,0.9042,30.21014,3277.53397
113,3200116.0,public,3.0,13.4043,315.0,4.6667,0.0,23.5,,,0.0851,0.0,53.0,1.0,-0.3123,0.1061,1.2744,0.9659,-1.5648,37.76889,1521.59707
114,3200117.0,public,3.0,14.6296,395.0,0.1333,0.0,27.0,1.0,1.0,0.0556,0.1852,28.0,2.0,1.7368,0.531,0.8944,1.1035,-0.1661,28.85853,2119.77475
115,3200118.0,private,2.0,19.5333,293.0,0.4918,1.0,15.0,1.0,0.5,0.3333,0.1667,28.0,0.0,-0.2805,-0.2968,0.3889,0.23,-1.5648,8.08875,476.91588
116,3200119.0,private,2.0,6.0435,278.0,0.8,1.0,46.0,0.0,0.5,0.5,0.0,53.0,1.0,-1.4212,-1.4551,0.0464,0.3214,0.9042,46.78496,2668.25888
117,3200120.0,public,3.0,6.5429,687.0,0.4545,0.8,105.0,,0.2143,0.2381,0.3571,23.0,1.0,0.4292,1.8544,1.4462,2.5251,-2.1866,6.7206,563.83236
118,3200121.0,public,3.0,6.7092,473.0,0.5,1.0,70.5,0.9858,0.9007,0.0993,0.0,28.0,3.0,2.4611,0.9088,0.0921,1.4255,0.287,6.79135,494.53794
119,3200122.0,public,3.0,6.1111,275.0,1.0,,45.0,0.0889,0.8444,0.0667,,18.0,1.0,-1.4212,0.0055,1.9398,1.3735,-1.2301,46.87736,2931.64404
120,3200123.0,private,2.0,14.4815,391.0,0.2817,1.0,27.0,1.0,0.5926,0.4074,0.0,33.0,2.0,-1.4212,-1.4551,-0.501,-0.5582,-0.1764,4.481,458.99561
121,3200124.0,private,,43.7746,1554.0,0.3429,1.0,35.5,1.0,0.8732,0.1268,0.0,38.0,3.0,-0.6884,-0.3265,-1.1906,-0.7733,0.9042,4.64503,521.38009
122,3200125.0,public,3.0,8.5291,806.0,0.1163,1.0,94.5,1.0,0.5291,0.4656,0.0053,53.0,0.0,-1.4212,-1.4551,1.0633,0.4883,-0.7691,4.51173,522.96994
123,3200126.0,public,3.0,10.8308,352.0,0.0,,32.5,1.0,1.0,0.1385,0.3538,53.0,2.0,1.3065,0.4231,0.9383,0.5672,0.9042,39.36161,2640.61824
124,3200127.0,private,2.0,9.125,438.0,0.3433,0.7826,48.0,1.0,0.6771,0.2604,0.0625,33.0,1.0,2.9595,2.4895,-0.1452,-0.4289,0.9042,9.02656,662.37568
125,3200128.0,public,3.0,10.0076,1311.0,2.1875,0.2857,131.0,0.6374,0.7824,0.0763,,53.0,3.0,0.5886,0.5402,0.6482,0.6101,-1.0542,20.35393,2172.53767
126,3200129.0,public,3.0,,1068.0,0.2381,1.0,,,,,,53.0,3.0,-1.4212,1.0744,0.3889,0.9355,-1.0542,2.7793,597.24949
127,3200130.0,public,3.0,11.0685,404.0,0.3208,1.0,36.5,1.0,0.274,0.6164,0.0411,28.0,0.0,1.2589,-0.0879,2.4905,3.0494,0.1329,52.25594,2846.9986
